month	total_rainfall	maximum_rainfall_in_a_day	no_of_rainy_days	mean_temp	max_temperature	temp_extremes_min
2006-09	83.3	32.2	12	28	32.8	22.7
2006-10	102	37.8	8	28.3	33.6	23.5
2006-11	185.6	64	18	27.3	33.2	23.5
2006-12	765.9	198	22	26.6	32.7	22.4
2007-01	450.1	143.8	20	26.5	32.7	23.1
2007-02	105.5	51.4	3	27.3	33.3	23.3
2007-03	269.1	68.8	21	27.5	33.5	22.5
2007-04	240.2	102.4	14	28.1	33.7	22.2
2007-05	127.2	21.9	16	28.3	33.4	22.7
2007-06	139	38	12	28.4	34	21.8
2007-07	141.7	23	19	27.7	33	22.6
2007-08	190.7	55.9	20	27.7	32.5	22.9
2007-09	149	52.1	13	27.8	32.6	23
2007-10	237.2	51.8	16	27.8	33.7	22.6
2007-11	367.9	60.1	21	26.9	33.5	22.1
2007-12	468.6	159	20	26.4	31.8	22.1
2008-01	262.6	123.1	19	26.8	33.5	22.9
2008-02	129.2	48.5	8	26.7	33.4	22.4
2008-03	294.1	48.1	16	26.5	32.7	21.8
2008-04	87.2	34.2	13	28.1	33.3	23.4
2008-05	124.9	42.3	11	28.8	34.1	22.1
2008-06	118.3	45.2	12	28.2	32.9	22
2008-07	89.1	23.5	15	27.8	32.7	22.7
2008-08	327.3	133.9	18	27.4	32.7	22.6
2008-09	164.4	43.5	18	27.7	32.9	22.1
2008-10	159.5	41.6	19	27.6	33.3	23.1
2008-11	324.3	63.3	16	27.3	33	22.5
2008-12	244.2	52	17	26.9	32.6	22.1
2009-01	38.3	36	5	26.8	32.6	23.2
2009-02	201.8	74.2	8	27.3	35	23.1
2009-03	223.3	56.3	19	27.2	33.2	22.3
2009-04	183.7	86.6	12	28.5	34.7	22.9
2009-05	198.6	41.3	17	28.7	33.6	21.8
2009-06	21.8	5.8	8	29.1	33.7	24
2009-07	161	24.4	16	28.3	33.1	22.1
2009-08	177.8	35.5	12	28.3	33.5	22.6
2009-09	109.6	63	13	28.3	33	23.1
2009-10	133.4	38.4	15	28.2	33.9	23.4
2009-11	281.8	61.4	23	27.2	34.1	23.5
2009-12	189.8	42.6	18	27.1	32.6	23.2
2010-01	69.5	24.5	10	27.5	32.3	21.8
2010-02	6.3	2.9	4	28.9	35.2	23.8
2010-03	238	57.6	11	28.6	35.5	22.8
2010-04	158.5	40	18	28.6	34.5	22.5
2010-05	157.5	90.5	17	29.2	35.2	22.9
2010-06	240.5	43	19	28.3	33.5	23
2010-07	298.5	121.1	18	27.7	33.4	22.4
2010-08	158.4	60.2	16	27.9	33.1	22
2010-09	121.5	28	13	28	33.2	22.6
2010-10	166.2	58.1	17	28.3	34.1	22.6
2010-11	278.8	41.6	21	27.4	33.1	21.7
2010-12	181.4	85.8	14	26.8	33.6	22.3
2011-01	513.2	216.2	17	26.3	32.4	21.6
2011-02	23	17.4	8	27.3	33.5	23.2
2011-03	256.6	54	22	27.1	33.5	21.9
2011-04	217.8	61.8	12	27.9	33.1	21.4
2011-05	127	34.2	15	28.5	35.3	23.4
2011-06	213	82	15	28.4	33.1	22.2
2011-07	76.6	30	7	28.7	32.9	22.2
2011-08	81.4	30.2	13	27.9	32.5	23.3
2011-09	136.4	40.4	14	27.8	32.4	21.5
2011-10	216.8	54	20	27.3	32.5	22.5
2011-11	377.8	78.6	24	27.1	32.5	22.8
2011-12	284.6	87.4	21	26.6	32.3	22.8
2012-01	106.1	26.2	16	26.7	32.5	21.5
2012-02	83.6	38.4	11	27.2	32.9	22.7
2012-03	313.4	92.3	21	27	33.2	21.1
2012-04	260.6	48.4	20	27.6	32.9	21.9
2012-05	292	79.2	19	28.2	33.7	22
2012-06	53	38.2	8	28.7	32.7	22.8
2012-07	130.8	35.4	17	27.7	32.1	22.9
2012-08	119	31	12	27.9	32.7	23.1
2012-09	107.6	35.8	10	27.9	32.7	22.5
2012-10	122.2	22.6	13	27.7	33.1	23.5
2012-11	208.2	49.2	22	27.1	32.8	23.4
2012-12	363.4	78.8	22	26.7	32.2	22.2
2013-01	262	73	15	27.1	35.2	21.6
2013-02	395.2	95.2	22	26.5	32.5	21.5
2013-03	85.8	29.6	10	28.3	33.8	23.9
2013-04	159.4	41.6	19	28.2	34.9	22.1
2013-05	211.4	46.2	17	28.2	33.9	22.9
2013-06	111.4	22.4	12	29	34.5	22.6
2013-07	174.6	37.4	15	27.8	33.5	22.9
2013-08	165.6	43.2	15	27.9	32.8	21.6
2013-09	257	52.6	19	27.5	32.9	21.9
2013-10	285.4	139.8	19	27.7	33.2	20.9
2013-11	292.4	44	22	27.1	32.9	22.9
2013-12	348.2	119.8	21	26.5	33.7	21.2
2014-01	75.4	31.2	5	26.2	31.8	22.4
2014-02	0.2	0.2	1	27.2	33.8	22.4
2014-03	66	52.6	6	27.9	34.4	23.6
